ev                , Mev cm^2 g^-1
10.501778841846049, 10.21817963661339
10.842839452819392, 10.908211729573031
11.04852213110889, 11.698123723297842
11.207733673980135, 12.491103357916218
11.421964131020472, 13.51362475605088
11.639460963159388, 14.555888080573833
11.858566783375846, 15.473656679426115
12.18890838249493, 16.447311695014804
12.464476328935989, 16.996727412173424
12.722989783581156, 17.555380266597233
12.99258580318113, 18.03449117586421
13.29277166905871, 18.471684774375632
13.602637362211873, 18.850391991274833
13.994100152804188, 19.10000187817782
14.450029549778977, 19.096721374556715
14.901902545001654, 18.978276968537603
15.362829572212076, 18.949500889182676
15.907648658028009, 19.022817263284633
16.41616236420622, 19.306335739962467
16.833718629614452, 19.70953351203077
17.20719687446159, 20.20268428428458
17.6079696904987, 20.737946721476316
18.5464883571982, 22.13234834769507
19.359139841334983, 23.623422395183834
20.128536996684332, 25.662548717163546
20.785199453377217, 27.63682920938745
21.368771041306513, 29.764787341464555
21.967163463543336, 31.916345099326865
22.58552783503304, 34.52485972439353
23.32400599201032, 37.34431964031541
23.868169680831265, 39.696540408352654
24.538299679480158, 42.75306238984645
25.22544881662021, 45.84348201898664
26.16732641164199, 49.802172169822214
27.142440104247086, 53.866005708975756
28.284454130901164, 59.02931206859224
29.338461639235334, 63.846075830612726
30.705910132826975, 69.65572486124397
32.13709459886391, 75.99402066334879
33.47972411966002, 81.83056833592626
35.19517621491354, 89.27133565003723
36.995892069895895, 96.96260988962811
38.883203351121004, 104.39703360123838
40.49614120204443, 110.46062574506462
42.942404825727465, 119.43820808601733
44.92473432423309, 126.9231024547256
47.84240980812598, 136.03226070907598
50.732441878071555, 147.08815337041378
54.023458342755134, 156.95484663534864
58.824049994667156, 169.6499210824318
63.190806429856565, 180.2163598329426
67.56356900525036, 188.12395547481643
73.5359388626886, 198.06047953646194
80.02485084690923, 206.7012717495939
85.9164929493407, 212.00694664325644
92.64328199993057, 216.48444241077485
99.88963115885984, 220.08938170558497
108.64987895162685, 222.74861137081413
117.64962139736507, 224.46718523548046
122.74771939555453, 224.80543639181545
127.56537210139287, 225.11596714216114
132.07677683602574, 225.26832686396736
135.798478160405, 225.18296277346164
139.75833263776744, 225.16215665945927
143.89227812593222, 225.00522480019626
148.2899206893419, 224.9128565034809
152.6480294484727, 224.27832924746392
165.9687669856316, 221.46516402377296
179.65242640197798, 218.33445296067504
198.7888753676862, 214.24180262015008
215.17846068361135, 211.2132035869904
233.9162137697159, 206.39699507861187
250.94118531680564, 201.72703298631887
270.3959615778697, 197.15086653242395
292.62685529902575, 191.82399741978367
316.66294459659605, 185.8245041822772
338.1904308684733, 180.83631721217805
364.35752557491287, 175.19101995456052
394.25743872847505, 168.96925361662466
426.61099903857604, 162.96844824103673
457.5956009119063, 157.89044870248355
495.14681851096486, 152.28309805703685
533.3822940400617, 146.24111463965846
574.6112313026313, 141.05597092908292
621.6764781070192, 134.85868392368258
669.682634820616, 129.50803147208117
724.5865634274672, 124.36218552108674
773.6804180997924, 119.44237041052443
833.3057527466673, 113.70191951965839
901.5601459433133, 108.70643139046389
966.8336493434273, 103.94293230272378
1020.211358059319, 100.63849757808893
1079.5497173447243, 96.92506171015401
1141.4921791023219, 93.75727214460879
1218.2841365773158, 89.83313550692833
1306.984410128023, 85.72560434506745
1383.8050243302634, 82.39851667119893
1461.5077171940695, 79.27880566165726
1544.5778845883706, 76.40128824470364
1625.112880204425, 73.74774607636077
1722.6624996121825, 70.8069236555323
1838.60971339665, 67.54332198554387
1988.220500426628, 64.00483592728388
2141.2541075205563, 60.782529910585176
2308.4638322207597, 57.66109375074164
2469.211489183439, 55.14263886963671
2638.1905421213396, 52.520388058364865
2800.4975985824894, 50.12129270867715
2961.9290741896284, 48.2414184852094
3155.527822144599, 46.13690334197507
3361.8092745562913, 44.14734871167926
3609.925103815377, 41.93069131456198
3868.604960825405, 39.826420054271814
4212.17047255001, 37.5199754306964
4567.846785175796, 35.30839159741097
4992.392689603501, 32.82964436447674
5360.406420691385, 31.021829382922387
5732.933092582149, 29.431941706812975
6107.257088532045, 28.036300570549194
6480.458080125021, 26.81469014566567
6903.145141620076, 25.441809453809284
7412.4881959992035, 24.13658383305094
7959.926448471474, 22.989535096093633
8446.339972663029, 21.98782462912443
8962.477152977293, 21.02976114568234
9546.437436369393, 19.873894173548475
10129.79914290755, 19.007939828240097
